Country,City,Continent,Provider,Host,Ping,Latitude,Longitude,Region,IP
Brazil,Jose Bonifacio,South America,Oquei Solucoes em TI,speedtest.oquei.com.br,175.88200199998,-21.0528,-49.6883,Sao Paulo,200.95.193.129
Myanmar,Yangon,Asia,NETCORE,speed.netcoreinternet.com,219.286877999991,16.8053,96.1561,Yangon,103.80.36.34
Malawi,Lilongwe,Africa,SKYBAND,ookla-llw.skyband.mw,326.438732999975,-13.9669,33.7873,Lilongwe,41.190.95.232
Italy,Venice,Europe,APV Investimenti S.p.A.,speedtest-1.apvinvestimenti.it,163.552449000008,45.4386,12.3267,Veneto,
Mexico,Monterrey,North America,AXTEL,mtyspeedtest.axtel.mx,83.620725000003,25.6667,-100.3167,Nuevo Leon,
Australia,Gold Coast,Oceania,Vocus Communications,speedtest-bne.vocus.net,157.584141000001,-28.0003,153.4309,Queensland,
South Africa,Pretoria,Africa,Seacom Ltd,sl-01-cpt.za.seacomnet.com,311.378386999991,-25.7449,28.1878,Gauteng,
Argentina,La Plata,South America,Horus Sistemas Informaticos SRL,st.horusnet.com.ar,134.906725999997,-34.9215,-57.9545,Buenos Aires,
India,Gwalior,Asia,Pc Care Airway Infratel Pvt. Ltd.,speedtest.airwaybroadband.com,249.693275999988,26.2236,78.1792,Madhya Pradesh,
Philippines,Makati,Asia,Smart Communications Inc.,greenhills.smart.com.ph,159.343419999999,14.5503,121.0327,National Capital Region,
Canada,Halifax,North America,"Eastlink – St. John’s, NFLD",speedtest-nl.eastlink.ca,100.117783000002,44.6564,-63.5961,Nova Scotia,
Macao,Macau,Asia,MTel,speedtest.mtel.mo,153.907269000001,22.2006,113.5461,Macao,
Mexico,Tlalnepantla,North America,Triara,speedtest1-cuernavaca.triara.com,50.757042999976,19,-98.9833,Morelos,
United States,Eureka,North America,Suddenlink Communications LLC,speedtest33.suddenlink.net,25.1787490000197,40.8021,-124.1637,California,
United States,Dahlgren,North America,Hamilton County Communications,sp1.hamiltoncom.net,59.9149640000007,38.1906,-88.5377,Illinois,
United States,Porter,North America,Tachus Fiber Broadband,speedtest.tachus.com,37.6287509999997,30.1049,-95.2583,Texas,
United States,Lawrence,North America,Kansas Research and Education Network,speedtest-kc.kanren.net,41.377969000024,38.9641,-95.2536,Kansas,
Switzerland,Zuchwil,Europe,SolNet,speedcheck.solnet.ch,153.342400000014,47.2017,7.5665,Solothurn,
Russia,Chita,Europe,Mig-service Chita,speedtest.migchita.ru,245.824725999995,52.0333,113.55,Zabaykal'skiy kray,
Czech Republic,Prague,Europe,JM-Net z.s.,speed-jesenice.jmnet.cz,153.06829299999,50.088,14.4208,"Praha, Hlavni mesto",
Vietnam,Da Nang,Asia,PowerNet,speedtest.powernet.vn,171.137995000009,16.0678,108.2208,Da Nang,
Brazil,Tres Lagoas,South America,YES TELECOM,speedtest.yestelecom.net.br,174.531298000005,-20.7511,-51.6783,Mato Grosso do Sul,
United States,Oneonta,North America,Fuzion USA,gurley-speed.buyfuzion.com,36.0261419999972,33.9469,-86.4687,Alabama,
Russia,Salekhard,Europe,Yamaltelecom,speedtest.ytc.ru,229.658846000007,66.53,66.6019,Yamalo-Nenetskiy avtonomnyy okrug,
South Africa,Pretoria,Africa,CSBT,www.csbt.co.za,291.327161999988,-25.7449,28.1878,Gauteng,
United States,Cedar Falls,North America,Cedar Falls Utilities,speedtest.cfu.net,61.6885299999979,42.5286,-92.4509,Iowa,
Italy,Rossano Veneto,Europe,Flynet.it,speedtest.dbnetwork.it,158.476154999988,45.7058,11.806,Veneto,
South Africa,Bethal,Africa,Vaal Networking Consultants,speedtest.vaalnetworking.co.za,290.464428999996,-26.4579,29.4655,Mpumalanga,
South Africa,Johannesburg,Africa,Vox Telecom,speedtest-jhb.voxtelecom.co.za,292.250610999986,-26.2023,28.0436,Gauteng,
Russia,Saratov,Europe,DOM.RU,speedtest.saratov.ertelecom.ru,188.437688999983,51.5667,46.0333,Saratovskaya oblast',109.195.16.230
United States,Modesto,North America,Velociter Wireless Inc.,sp5.velociter.net,24.2237329999853,37.6391,-120.9969,California,
United States,Burlington,North America,Skynet Internet Broadband Private Limited,speed.vajratelecom.net,16.2901699999907,42.5085,-71.2011,Massachusetts,
Indonesia,Batam,Asia,PT Telekomunikasi Indonesia,banjarmasin.speedtest.telkom.net.id,201.972917999996,1.0833,104.0333,Kepulauan Riau,118.98.104.250
Brazil,Sao Luis,South America,SPEEDNET TELECOM,speedtest.speedenet.com.br,212.907505000004,-2.5297,-44.3028,Maranhao,
Brazil,Joao Camara,South America,MGNET,speedtest1.provedormgnet.com.br,203.698456999973,-5.5375,-35.8197,Rio Grande do Norte,
Germany,Munich,Europe,Rostelecom,speedtest.novosibirsk.u-disk.ru,159.751504000013,48.1374,11.5755,Bayern,
Pakistan,Gadani,Asia,StormFiber,speedtest.stormfiber.com,266.304767000008,25.1185,66.7299,Balochistan,
Bolivia,Santa Cruz de la Sierra,South America,Digital Tv Cable,digital.bo,157.843560999993,-17.8,-63.1667,Santa Cruz,190.211.224.35
Russia,Usinsk,Europe,Swift Telecom,test.usinsknet.ru,212.477680999996,65.9939,57.5281,"Komi, Respublika",
India,Bijapur,Asia,supersonic isp connectivity india pvt ltd,sp1.supersonicbroadband.com,268.296835000001,16.8333,75.7,Karnataka,
Russia,Moscow,Europe,Rostelecom,syktyvkar4g.speedtest.rt.ru,197.557036000006,55.7522,37.6156,Moskva,87.226.221.44
Russia,Sochi,Europe,BiSV,speed2.bisv.ru,213.199059000004,43.5992,39.7257,Krasnodarskiy kray,
Brazil,Sao Paulo,South America,ATVNET,atv.com.br,162.475377999982,-23.5474,-46.6374,Sao Paulo,
Ireland,Dublin,Europe,Kerry Broadband Ltd,speedtest.kerrybroadband.net,157.473399999986,53.344,-6.2672,Dublin,
Russia,Moscow,Europe,"OOO ""MKC""",speedtest.mkc-net.ru,173.108655000021,55.7522,37.6156,Moskva,
Australia,Mount Gambier,Oceania,Optus,speedtest.ebw.optusnet.com.au,158.641294000006,-37.8318,140.7792,South Australia,
Poland,Nowa Ruda,Europe,BRK NETWORK DEVICES,speedtest1.devices.net.pl,171.586598000005,50.5801,16.5016,Dolnoslaskie,
Brazil,Antonina,South America,IPLink Telecom,speedtest2.iplinktelecom.com.br,172.215942999998,-25.4286,-48.7119,Parana,177.8.220.34
Hong Kong,Hong Kong,Asia,BGP Network,speedtest.hk.bgp.net,193.071092000025,22.2855,114.1577,Hong Kong,
Brazil,Itamarandiba,South America,MSol Intenet,speedtest.msolinternet.com.br,176.77855300002,-17.8572,-42.8589,Minas Gerais,
Brazil,Manaus,South America,Ultra Connect,ultraconnect.ddns.us,219.344294999985,-3.1019,-60.025,Amazonas,
Brazil,Turmalina,South America,MC,sp2.mcinfor.com.br,176.229417000002,-17.2856,-42.73,Minas Gerais,177.85.104.141
United States,Clovis,North America,Yucca Telecom,speedtest.yucca.net,41.1408829999971,34.4048,-103.2052,New Mexico,
Russia,Cherkessk,Europe,UPP Microcomponent LLC,cherkessk.net,195.777749000001,44.2233,42.0578,Karachayevo-Cherkesskaya Respublika,195.62.92.222
Ukraine,Dnipro,Europe,"GlobalNet, LLC",speed.globalnet.dp.ua,180.615971000009,48.45,34.9833,Dnipropetrovska oblast,
Italy,Spezzano Albanese,Europe,Link Telecomunicazioni,speedtest1.link.cs.it,171.411368999998,39.6688,16.3105,Calabria,
Russia,Tyumen',Europe,OOO Pozitiv Telecom,sp.pozitivtelecom.ru,200.913248999996,57.1522,65.5272,Tyumenskaya oblast',
Brazil,Frederico Westphalen,South America,TcheTurbo Provedor,speedtest.tcheturbo.com.br,181.455424000006,-27.3592,-53.3944,Rio Grande do Sul,
Russia,Kazan,Europe,Beeline,kazan1.speedtest.corbina.net,189.457417,55.7887,49.1221,"Tatarstan, Respublika",
Germany,Koeln,Europe,CORSIN.DE,speedtest.corsin.de,153.600307000005,50.9333,6.95,Nordrhein-Westfalen,
Russia,Chudovo,Europe,CJSC RASCOM,stpetersburg1.speedtest.rascom.ru,163.857889999974,59.1167,31.6833,Novgorodskaya oblast',
Norway,Stokmarknes,Europe,Trollfjord Broadband AS,ookla.trollfjord.no,183.059783000004,68.5646,14.9108,Nordland,
United States,LaPorte,North America,Surf Air Wireless,speedtest.surfairwireless.net,60.0727110000037,41.6223,-86.6965,Indiana,
France,Roubaix,Europe,Smishcraft,sp1.smishcraft.com,162.675808999978,50.6942,3.1746,Hauts-de-France,
Indonesia,Jakarta,Asia,PT Mora Telematika Indonesia,speedtest-btm.moratelindo.co.id,190.239560999999,-6.2087,106.8455,Jakarta Raya,
Argentina,Jardin America,South America,SWISS-NET ENERGIA & TELECOMUNICACIONES,speedtest.swiss-net.com.ar,152.412429999998,-27.0435,-55.227,Misiones,
United States,Las Vegas,North America,Speed test,speedtest.lasvegas.net,13.97,36.1518,-115.1149,Nevada,
