Country,City,Continent,Provider,Host,Ping,Latitude,Longitude,Region,IP,Distance
Russia,Cherkessk,Europe,UPP Microcomponent LLC,cherkessk.net,69.20569400017484,44.2233,42.0578,Karachayevo-Cherkesskaya Respublika,195.62.92.222,2584.094781362357
Ukraine,Dnipro,Europe,"GlobalNet, LLC",speed.globalnet.dp.ua,53.097419000096124,48.45,34.9833,Dnipropetrovska oblast,,1981.421994705104
Italy,Spezzano Albanese,Europe,Link Telecomunicazioni,speedtest1.link.cs.it,24.115714999879856,39.6688,16.3105,Calabria,,868.9805579391117
Russia,Tyumen',Europe,OOO Pozitiv Telecom,sp.pozitivtelecom.ru,73.54967199989915,57.1522,65.5272,Tyumenskaya oblast',,4006.960452760193
Brazil,Frederico Westphalen,South America,TcheTurbo Provedor,speedtest.tcheturbo.com.br,225.48539800027356,-27.3592,-53.3944,Rio Grande do Sul,,10246.880205436117
Russia,Kazan,Europe,Beeline,kazan1.speedtest.corbina.net,60.94320600004721,55.7887,49.1221,"Tatarstan, Respublika",,2998.52597599693
Germany,Koeln,Europe,CORSIN.DE,speedtest.corsin.de,18.510461000005307,50.9333,6.95,Nordrhein-Westfalen,,630.4158218218121
Russia,Chudovo,Europe,CJSC RASCOM,stpetersburg1.speedtest.rascom.ru,48.1107460000203,59.1167,31.6833,Novgorodskaya oblast',,2139.439083659226
Norway,Stokmarknes,Europe,Trollfjord Broadband AS,ookla.trollfjord.no,55.896228999699815,68.5646,14.9108,Nordland,,2593.0782878037453
United States,LaPorte,North America,Surf Air Wireless,speedtest.surfairwireless.net,115.81287099988913,41.6223,-86.6965,Indiana,,7267.549715424381
France,Roubaix,Europe,Smishcraft,sp1.smishcraft.com,20.862892999957694,50.6942,3.1746,Hauts-de-France,,733.6672620364496
Indonesia,Jakarta,Asia,PT Mora Telematika Indonesia,speedtest-btm.moratelindo.co.id,161.34304600018368,-6.2087,106.8455,Jakarta Raya,,11096.63669775868
Argentina,Jardin America,South America,SWISS-NET ENERGIA & TELECOMUNICACIONES,speedtest.swiss-net.com.ar,237.77764600026785,-27.0435,-55.227,Misiones,,10334.18013342758
United States,Las Vegas,North America,Speed test,speedtest.lasvegas.net,154.10941799973443,36.1518,-115.1149,Nevada,,9383.368713303493
